dataset,algorithm,Total Time,BDD Time,Solver Time,Inside Theory Assgn,Outside Theory Assgn,\# of Operations,\# of Solver Calls,Value Summary Size,Sharing Factor,Speedup
Find Max,single2,49.51,30.05,48.56,102,0,17646,2044,40.72,22.99,0,
0,multiple,4.96,0.06,4.86,102,0,614,180,1.88,1,9.96,
Red Black,single2,240.95,198.82,234.69,5036,4578,114952,9924,132.12,43.55,0,
0,multiple,37.14,4.2,32.72,790,1088,12936,980,3.53,1,6.48,
Calc Parser,single2,55,60.54,53.01,898,0,23758,3010,216.11,9.78,0,
0,multiple,35.45,3.17,31.98,898,0,8240,1826,20.43,1,1.55,
PL/0 Parser,single2,312.15,2902.28,256.45,5936,0,195080,13580,1334.9,45.79,0,
0,multiple,246.37,46.09,198.22,5936,0,71364,10462,29.34,1,1.26,
BST,single2,47.41,5.05,47.1,40,780,7930,2160,28.82,9.37,0,
0,multiple,6.52,0.16,6.3,52,188,1398,288,2.36,1,7.26,
Array Index,single2,43.41,15.35,42.87,478,0,12304,2640,95.16,9.09,0,
0,multiple,11.7,0.63,10.93,478,0,3656,660,9.13,1,3.7,
Priority Queue,single2,80.54,37.71,79.41,90,10,26084,4092,41.82,31.54,0,
0,multiple,0.91,0.03,0.84,90,10,548,60,1.2,1,87.73,
Queue,single2,2,0.08,1.97,50,56,1158,124,5.41,5.41,0,
0,multiple,0.29,0,0.27,106,0,274,20,1,1,6.7,
Stack,single2,16.82,1.99,16.66,60,278,5764,968,29.91,7.73,0,
0,multiple,0.64,0.04,0.57,62,44,628,40,2.41,1,26.24,
Linked List,single2,27.34,1.54,27.21,94,164,4538,1454,19.55,5.28,0,
0,multiple,2.45,0.09,2.33,94,124,878,114,2.78,1,11.12,
Heap Sort,single2,10.07,1.6,9.77,700,286,20652,552,11.03,5.6,0,
0,multiple,3.99,0.06,3.86,332,0,2412,224,1.72,1,2.52,
Kadane Subarray,single2,17.49,3.07,17.28,78,0,3730,826,19,3.2,0,
0,multiple,6.51,0.07,6.41,78,0,536,290,2.43,1,2.68,
BDD,single2,46.48,288.67,35.87,10852,34128,661700,2044,17.32,6.42,0,
0,multiple,6.17,4.21,1.21,10886,15838,120334,84,2.45,1,7.52,
Quick Sort,single2,39.89,14.32,39.05,2308,0,24672,1916,32.79,7.09,0,
0,multiple,15.14,0.7,14.33,1460,0,6528,624,3.63,1,2.63,
Symbolic Arithmetic,single2,75.41,373.69,64.79,1836,176,363504,3640,76.29,39.3,0,
0,multiple,1.53,0.14,1.26,424,168,10684,90,1.82,1,49.25,
